3,man exposed nurofen scandal question abc deal dodgy swisse auspol
3,depriving prisoner access  medical service clear case crime humanity freegolipour medical ht
2,next time someone tell israel committing genocide show
3,unemployed oops never mind
3,proof people world complete moron need follow account
3,none allegation r proved still unjustified jail since past  year justicebapuji
2, watermelon one worst fruit
2,matter much fame climb always guy fucking hate kanye
1,watch voiceover recording ice cream ad go horrendously comically wrong
1,furry bl game cry phone
1,furry bl game cry phone
1,furry bl game cry phone
3,ffs asked bro put plastic bin came back
3,fake isi attack prague intended protest caused panic
1,cincinnati zoo deleted twitter tonight amid flood harambe meme spam
3,secular leftist accidentsp suv boy diesp car man dieswhere outrage
3,look like vicious offender watch lady
3,true relationship two imperfect people refusing give aldubpwedenamag
3,friend say something stupid check brain
3,federal minimum wage  hr amp gop refuse  raise u live decently k
3,second hand book losing market
3,say cunt yup right
3,bombshell hillary health bad aide reached nfl regarding cracked head
3,ripped black life matter absent historic flooding louisiana
1,former homeless l spa man mitch shot begging outside tesco  dy short illness rip
3,already bad mood someone decides test make worse
3,bae asks forgiveness mistake
3,quite literally give shit care le tried
3,bother derryn hinch cut mid sentence
1,literally cry bc glo
2,cnn msm nbc cbs abc people dead misinformation u jail
2,cincinnati zoo delete twitter delete wrong fighting harambe
2, milk nasty nasty nasty people pour cup drink straight spawn satan
2,rather die passion boredom
1,spacey as walking right pas juicy jumbo peach wtf dude disappointed
3,outrageous  killed philippine government violent war drug must stop
3,picture  year old people think blackhistory month overrated unnecessary
1,bad girl
3,rumor tpp death hasty say still major fight stoptpp
3,talk shit
3,talk shit
3,minister nd accountable perform sack tm jaisha incident htt
3,blocked ex everything managed message direct tv
3,patrick daniel tillman gave multi million dollar career nfl threaten move gave life h
1,kak sad child
1,care sick puppy filter
3,white male rapist get light sentence due justice system feeling sympathetic yeah never happens
3,storm coming join voice ignored
1,one fw bc hell still size
2,wow evolution garbage truck insane
3,finished dumb chair mind lighting fire
3,israel bombarded gaza  airstrikes world turning blind eye like always gazaunderattack
3,bdsm dominant yes sir master tie bed fuck u senseless lot foreplay
3,confused
3,people walk like direction life pas either left right hand side
3,piece shit take white haired anime boy lust useless penguin form
1,louisstewart passed sad talent
1,sad
1,sad
3,supreme court partisan football kicked around senate leader stop treating like one
3,mom slap tf outta public trying cry
2,virgin acting though people sit floor pictured st class manc traingate
3,hillarysemails blamed staff russia powell hillary press conference ask
2,black people hate white people appropriating black hairstyle like braid dread etc
3,case innocent asaram bapu ji sheer conspiracy stop pocso misuse justicebapuji
1,tuesdaymotivation infomaniac got ton useless information
0,nothing say punk quite like broad based opposition oppressive social norm yes
1,lighting terrible look skin skincaretalk
3,horrible scum say employer kept silent savile decadesdid neil know h
1,hillary clinton email scandal got scary tech techn
3,day  ballymurphy massacre british army begin  hour murder rampage killed  people htt
3,around one six  smes uk admit cashflow problem release cash tied invoice htt
1,miss thing lose hurt
3,ryan lochte look like believe white male privilege made go away yet
2,heck chef gyu damn underrateddont tell yall forgotten helped chicken wear clothing
3,deadly virus member cdc use number different form stop pbl tlap
3,deadly virus member cdc use number different form stop pbl tlap
3,spend  hour makeup get sorry make text
3,law wild say kill hungry
1,one woman found sack field inside surprising sad
1,chloe khan suck lollipop flaunt eye popping
3,arrest warrant mother put infant refrigerator hour killing lasvegas
3,donald desperate every politician provides audience big donor mention every politician msnbc ht
1,think morbid
1,think morbid
3,olympics may dad hat never die
2,bet naked shower fucking slut
3,come fuck dirtygospel th opening bitch
3,city fee ambulance ride unfair philly resident
3,fbi nearly   uncovered email many statement proven false
2,much confused hate child
1,heartbreaking story zika calamitous attack baby brain radiology mri
1,heartbreaking story zika calamitous attack baby brain radiology mri
1,heartbreaking story zika calamitous attack baby brain radiology mri
3,stop saying harley quinn amp joker goal abusive relationship stupid new fan
3,farooqsattarconstitution mqm allow leader altaf rascal farooq lying htt
1,show killing inside
2,future vegan food gross
2,canada immigration policy killing people cdnimm
3,stay mute whole ariana mac miller thing hurt
3,proof allegation case proved false asaram bapuji innocent justicebapuji h
3,withdraw culture lose opportunity represent christ confused world
3,confused youth today
3,lot attractive people world ugly as soul
1,health poor watch listen read corruptmedia neverhillary corrupthillary trumppence
3,hi guy wanted show really alarming picture detention center hold immigrant inhumane
1,satisfied completely drained keep sending findom
3,anyone think scotland equal partner deluding simply brainwashed snpfail
2,interviewer remember tweeting fuck job ima flip dope die bitch
3,pay attention blatant hypocrisy distraction
1,weak fear strong
2,many parent feel others mean child child cyber bully see advice
3,disgusting medium try justify israeli bombing gaza palestine
2,america give shit war mongering isi weapon giver hillary email telling u
3,life current situation struggle
1,missing come wave tonight drowning
1,missing come wave tonight drowning
1,missing come wave tonight drowning
1,tweeting bc one ugly hi
3,fault
3,school stop teaching cursive kid get dumber fact ridiculous
1,bad week
2,german go full ridiculous reminder greek make act common sense germany
3,need leave everybody hell alone stay damn safe space exercise demon
3,zach strief q concerned offense sure time panic week telling
3,working garden shit funny moment
3,corny dude try funny class everyone tell stfu reason class stay late  min bell
1,israel danger humanity boycottapartheidisrael bd
3,come dispatch arrive tomorrow pissed considering paid shipping prime
2,ramen new currency prison food bad
3,blasting harm marine life let happen arctic gt gt gt
3,trump got pissed bc buzzfeed reporter took picture empty seat one rally let spread
3,finally done drew thing without guideline even tho left facing bust referenced sob
3,might make gut mar war mode look rage
1,way hell way hell paulie right natalie right bb
1,weird kid psych class kept picking nose eating smh
3,really want draw short comic st time age yet think topic excessive
3,lion lose sleep opinion sheep success motivation
3,face devil fire hell burn cursed face amp fire awaits htt
1,icantbeurfriendbecause negativity
2,bitch  wtf think cold
3,early anc conference bad idea say
1,hey bothered watching waleed aly ever explain sharia wrong gay auspol
3,expert british law rashid aslam say altaf may get  year prison proven guilty
3,feminism son dy like fuck
3,beaten back deluded chief losing market share inc online v report
1,rip leslie lohan died shortly filming parent trap  never forgotten
1,getting wanna lol fault
2,woah gray could real trouble homophobic racist sexist old tweet
2,study suggests terrible flying drone might think
1,go follow tweet always dying
0,side fat look generally first yoga workout
3,world full people care le someone care unknown animalrights
1,even though feverish amp feeling sick managed complete course without assisted aid emma
1,sad picture rhyl sun centre ruin childhood memory
2, men arrested savagely beating stabbing lost germanshepherd via cruelty
1,smile even tho sad pc
3,writer yes minister yes prime minister died
1,could get good picture makeup today save life ugh
1,could get good picture makeup today save life ugh
1,could get good picture makeup today save life ugh
1,could get good picture makeup today save life ugh
2,crack spreading across massive ice shelf antarctica bad news sea level
3,per jnu professor stop instigated fear state police
1,living proof hiphop dead hurting pain emotionally unavailable
3,someone tell consider sexually based offense especially heinous
3,ppl thought scandal would get better primaryof course getting worse hillarysemails
1,ur password stupid pal
2,like palestinian people used experiment military equipment
3,people shocked child soldier isi palestinian terror group decade
3,someone hate try apologize
3,anya amasova kgb lover killed  spy loved answer
3,salutetopakrangers mqm always thrived fear gone mqm absent
3,shove deep hole please ready go hell yet
3,life balance kind let people abuse trust deceived content
3,white life matter tired systematic racism put forth terror group blacklivesmatter
3,salutetopakrangers need know hell give license grenade rocket launcher
1,sad listen sad music purpose get sadder
3,hillary supporter must think stuff phony something ignore brain dead
1,ur bestfriend really petty
2,dont somebody kill bastard yeh communist tuchiye always anti national nation pride
3,sick hillary stand hidden stool behind keep held
1,summer bad
3,argue owning gun right abortion please slap rednationrising a chooselife h
3,shame august worst month  coping
3,hillary clinton spent  million worthless tv ad mean lousianaflood
1,hurt heart today reading
1,hurt heart today reading
1,hurt heart today reading
3,prime minister coward
2, whale found dead shore germany stomach filled plastic waste dumped sea
1,gotta keep cash flow working wait flow siphon sucked dry obama amp hillary want
3,china biggest crude oil operator north sea amid concern
3,whaling vessel pursue victim exhaustion fire grenade tipped harpoon iceland opwhales
3,rather confused photo used enlighten auspol
3,yes minister creator antony jay died age 
1,ugh wish still view morning
1,yeah worse nicotine
1,paddy shocked find pierce rhona together
1,paddy shocked find pierce rhona together
1,attention george soros bad man surprisingly back amp fund blm
3,extreme delay giving justice innocent asaram bapu ji case bogus justicebapuji
3,dipshit give music bad name obozoworld stfu maga texanswithtrumprespect usa
3,blackwomensequalpay single issue struggle intersectionality audrelorde
3,fucking ab
3,fucking ab
3,history mankind repeatedly show govts trusted eg beware ldrs pushing gun control hillary tcot ht
2,accidentally fed dog chocolate sick fuck
2,kcra funeral cancer patient attacked killed shannon vincel springfield
0,baes looking extra bomb today gaht damn
0,baes looking extra bomb today gaht damn
0,baes looking extra bomb today gaht damn
0,baes looking extra bomb today gaht damn
1,chocolate boring
1,chocolate boring
2,celeste guap call girl cop sex exploitation scandal say going rehab substance abuse sex addiction
3,concept would actually cared ugly
1,treat potential cry baby boohoo poco plane good flight yes
3,stick around keep moving guess lie ahead one way find
1,picture show humanity bad
3,rikki hurting un intentionally
1,sad
1,sad
1,sad
2,strangerthings art suggests could way worse barb egg
0,hotter hell night pushing  baby interval thismumcan
3,much pain daredevil punisher art
3,much pain daredevil punisher art
3,respect enough walk away negative situation know one right amp
0, promotes skin cancer red earphone subliminal message want dead
3,hotter wife fantasy girl self control lost found findom ht
2,tell tysonfoods stop starvingbirds pls via disgusting speechless
3,fired hiliary bc lying unethical dishonest attorney jerry zeifman dtmag
3,ever somebody accused saudi arabia apartheid course israel care
0,cru clean mean boring texas scotland christian mystery romance suspense
2,hate challenge without accepted u check new available challenge save time
1,desperately sad news coming evening tom ryan passed away aged 
1,horr ifies idea useless well educated brilliantly promising
3,life short average nonsense sundayfunday
2,tweeting go seem like luxury fuck phone least new camera still shit
1,tb alison arrested sad pllday pllchat plltheory pll prettylittleliars prettylittleliars
3,le  month removed worst mass shooting usa history run disturbing gun show ad
3,incredulous judge toss lawsuit accusing starbucks putting much ice cold drink
3,look like couple fight waiting one apologize
3,funke akindele alias threatened beat satan head dey haux created accent
3,yes kik palaminogirlie worship fucking tired pathetic loser come without
3,first idea hisoka makeup alright ignore stupid egg head used aurora nymph
3,help fallen poll get
3,shame try game anyone amp everyone shape shifter without conscience foxldt dobbs
3,really bad hurt see lmao familyguy cartoon say domestic violence
3,rio marathon silver medallist return home protest say agent pic ap
1,ouh going old voice memo found sad song
3,spy allah curse u allah like people spy say
3,coroner man police shootout died self inflicted gunshot wound
1,gentle formula solution cat sensitive stomach
3,hillary clinton may corrupt person ever seek presidency united state trumppence
3,fooled elephant perform trick unless forced often beating boycotthecircus
1,satisfied completely drained keep sending findom
3,deport everyone trump fan bothered shift mass deportation
2,mug send libs frenzy amp probably say u hate african american buy h
2,hey nairobi hate chore laundry x home care delivered ks use tw k
0,walking dead season  blu ray  never viewed digital copy
2,ypg force inside central prison hasaka baath regime tortured prisoner decade
3,different make person untrustworthy
3,death familybatman   jason todd run away trying find mother know happens
3,pc shit barely run game somehow manage
1,still emo last episode bts bon voyage scared bc bighit drop far away mv
1,still emo last episode bts bon voyage scared bc bighit drop far away mv
0,one last night family journey creamfields begin sky tonight unreal
3,effort fight discrimination may actually make worse
2,surprised dead yet
2,woman fight taken seriously cannabis help hurt read
2,whole fucking day fucking work
1,tagged song stay free clash sorry shitty quality
1,tagged song stay free clash sorry shitty quality
3,people stupid world
1,silly galaxy note v iphone  speed test meaningless
1,tootsie sad bc side door sad could meme
3, hundred died thousand wounded coup bid turkey serious reaction europe ht
3,excessive worrying negative psychological effect mentalhealth mindfulness worrying anxiety
2,dead as hate type girl come function dance homegirl
2,done sister typo even purpose
3,relationship go hell real relationship get unknown author
2,hate family coming roommom brought chicken nugget
3,ksy highkey annoying play much lowkey lowkey greasy choke occurs frequently conversation
3,much unnecessary padding omgwhy keep using thing one heard dan p
3,marco rubio care zika crisis late clear care flsen
3,look big fucking child know grass bcs hot refuse
1,show chest absolutely still complaining
1,huxley draining life energy look evil glint eye th poop day
3,mannequin look like head blown
1,exceptionally crappy journey home completely balanced finding waiting post
2,l interfere people relationship
3,libs ever get tired playing victim stop incessant whining amp go work hard blackwomensequalpay
2,ypg found  year old child detainee regime prison traumatised cannot speak v
1,get worse
2,chicken korma probably white person favourite curry bland fuck
2,chicken korma probably white person favourite curry bland fuck
3,u ever feel bad urself beth pretended boy piss boy x
3,mqm held rally show solidarity pakistan army ranger amp police fighting taliban mqmlovespakistan
3,mqm held rally show solidarity pakistan army ranger amp police fighting taliban mqmlovespakistan
1, play feeling
1,play feeling
1,play feeling 
3,cryptic note left window shield seth car turn game life amp death
1,common myth anxiety depression health
3,blame gal trying
3,shadoe tongue fly mouth random serious conversation  
3,shadoe tongue fly mouth random serious conversation  
3,part grayson said u look like piece shit killed
3,mute offensive term use name disability danielkevinharris
3,dear life ask much give chance stop annoying swear
2,state british journalism shocking least awareness produce summary
3,keeping kid away loving mother child abuse please makethecall
1,sensitive af wanna get feeling hurt
2,ripped shower hate hospital bloody death trap
2,smoke need ingesting something toxic horrendous keep body pure
2,tim cook feel shame apple tax avoiding way rest u cringing
1,trinity post jordin skye raven black thing bad boy find
3,real life selfie sorry face make without looking ugly lol subscribe
2,fuckin sister really mailed potato orlando congratulate im dead
2,gang member look like fucking gang member
1,fathfulfriend leave side  hour recent illness
1,sent drawing see really sad
3,think embarrassing stuff look back try facebook post 
3,exerted patience day ridiculous
3,people like lego broken completed another person even underneath still broke
3,calm really stigma amp ignorance kill knowledge give power positive change ht
3,laura trott frustrated questioning team gb cycling rival rio
3,government step solve problem always expense innocent people
2,australia flesh eating virus claiming victim
2,acting like drag decade people hype weak chanyeol slander nowadays
1,pose dramatically im one bit sorry
1,pose dramatically im one bit sorry
3,jhs unnecessary emojis spam make wanna beat as muted day calm fuck sometimes
3,jhs unnecessary emojis spam make wanna beat as muted day calm fuck sometimes
3,pay attention somebody else think rent space mind tru life drinkchamps
0,pokemon go dying
3,tbh drawn lot dispite inactivity cuz work finished single file w
3,tbh drawn lot dispite inactivity cuz work finished single file w
3,tbh drawn lot dispite inactivity cuz work finished single file w
3,inane defense clinton arm story claim power arm export false
2,internet troll kremlintrolls terrible human being social medium socialmedia
3,never found comfort talk like lord complain grief sorrow allah
3,getting annoyed constant singing cbb
1,afraid going please hurt stop cruelty go vegan pigtrial
2,learn ram mohun roy sadly died stapleton bristol statue near city hall ht
1,corbyn comms team still hard work traingate
3,transformer hell even gobots robot changer
3,janey giving key house honestly mistake bc obsessed dog visit daily
3,bad thing fine hell
2,officially laughable ashamed facebook
3,wtf wanted make nigga hated fucking crazy ripswipey
3,speaking translator watford manager walter mazzarri say sorry club fan defeat gill
3,bad gave u  day send stuff
2,chat become fucking jumin barbecue roasting fucker like aiyy
3,cursed imagesretweet bad luck
3,getting something isnt fault director realizes wasnt fault amp apologizes
2,see irrelevant promoted nonsense tl
2,see irrelevant promoted nonsense tl
3,believe people think shit legitimate account retweets reply shit like
3,believe people think shit legitimate account retweets reply shit like
3,ugly shit oh well dttselfies
3,someone try u amp u gotta show bos without harsh
3,many life failure people realise close success gave thomas edison
3, killed  wounded south shore shooting man killed another wounded
3,left alone everyone fuck ever
3, year ago russian soviet troop crushed another people democratic hope czechoslovakia last
1,sound annoys little as kid cry mommy
3,aging may bad economy albuquerque journal
0,trans jihyo normally nayeon see smt shocking using phone also exclaims wait moment
3,strong word worst potus ever earned enlist patriot army usfa
3,cheating site inadequate security privacy official say
0,believe exists joke
3,aye fury written face pathetic little rag turned
1,utterly sad one deserves tragic memory saved head young age
3,redskin worst madden  rating nfc east make sense
3,hiding rest season due personal foul led concussion hillaryfootballplays
3,major art block decided  try art style serum fucki ng wife turned trash
3,get student oyster card  one thinking travel free anymore make
1, yr old weight loss chronic diarrhea splenomegaly review outside slide hemepath
2,victim body lake underhill murder police say orlando
3,ah put half million cash plane iran still shit victim
1,millionaire feeling sad
2,ffs fricking sun come creepy black wig headline loki
3,mahama montie release worst decision since independence politics
1,am applying makeup half awake half dead trying cover tired
3,two worst thing ever created combined one sick
3,insane nobody resist putting face one
3,one important diversity show mostly casting agency fault
3,u try say trump bad person read
3,congress unwillingness pas obama far left agenda give authority act unilaterally tcot htt
3,bad day bird riding dog like horse
0,special place hell woman support hillary special place hell tcot h
2,admit pathetic freak young supple foot admit sacrifice
1,huge disappointment talk part making even worse
1,duo sad sad
1,anyways got id hahahahah want die look ugly
3,mt gun kill people value life kill people a pjnet
3,child learning tolerate child child learning kill child
2,bbc fucked subtitle stand subtitle showed nature documentary cry
3,calgary dad say victim unprovoked baseball bat attack
3,lurk end getting feeling hurt
3,false jew number  satanics world still jewish dna day
2,doctor know pickle jar test chronic brain damage sickhillary h
2, watermelon matter hard try like taste like water spoon sugar nasty
1,anxiety anxiety chronicillness get much paintalks
3,first true friend ever fake ya bitch could get real shit
3,worst thing danganronpa never went fucking god tier design
3,try smile picture look forced unnatural
3,illegal immigrant failed asylum seeker deported immediately day job
2,believe eye last night raving deep sometimes stay home amp recover
2,believe eye last night raving deep sometimes stay home amp recover
3,lebenon donates m  foundation amp afterwards clinton land algeria bill lesser evil scam htt
2,obesity genetic thesunrise english choice ignored blow amp ignore tntwe play
3,lorde fucking vacation tired
2,rip danielharris lost life using sign language communicate w cop cop paid leave rn
3,michael vick thug dog fighter always inaccurate fast bcuz use run cop nigger
3,despite criticism many men resist outsits
1,doubt trump suffering tertiary stage syphilispermanent damage brain
2,american politics somehow become le ridiculous newly released cat
1,sad annoyed human support staff flu sorry need bed go get box wednesday cat
1,babe spoiled today
1,babe spoiled today
3,choke take way fuck tbh
1,police smh yall muffkas need get ur shit together
0, final destination movie seriesi obsessed series death unrealistic fun
3,hell yeah know initiative people dislike noprop
2,breaking hillaryclinton voter follows want maga people amp raped medium make hrc disavow
3,literally worst person keeping secret worst spy time bfyspy
3,chris come overtom chris bring taylortom
2,south korean killed vietnamese brutal manner cambridge
1,whytrumpcanceledrallies cancel rally schedule website
1,whytrumpcanceledrallies cancel rally schedule website
1,dttselfies even though look horrible still decided participate gorgeous omg
1,dttselfies even though look horrible still decided participate gorgeous omg
3,wanna fix government problem quit voting tcot pjnet astoryinsentences
3,literally mess meet nanofarm box grows crop
2,acting like tweeted comeback century embarrassing
3,bad life mine iag romancereaders bookboost
1,yoonmin ugly ship see yoongi going hoseok
2,cambridgeshire woman found dead man seriously injured home
3,worst leader one know delegate
3,would expect le baby one security protest pc correct pervert
2,according photoshop tit yeah stupid cunt soo fucking photoshopped
3,enough distraction road without looking phone googlestreetview
2, kind pie ew nope especially pumpkin pie hate much
3,front mirror late night trying convince ugly
1,eye useless
3,life full fake people trust one hugotnahugot
3,much lyric intense experience song cause association david bowie slow burn madsmusic
1,honey want take anymore need put bedsing lullaby die end
1,honey want take anymore need put bedsing lullaby die end
1,sorry pic could
3,mark grey anatomy started fuckboy turned best fucking character im still sad
2,sickhillary wakeupamerica nra a many lie become pathological liar
1,barely nd day school smh
3,jww rude as text short think even wanna talk gang eachother
3,matching fuck fly fuckin
3,end massive fraud attack feedzai fintech machinelearning re
1,im gonna throw fuckin phone im cry sjsksklajsk
3,k late dangerous guy go homel k excuse excuse u get scold ur parent
1,also really lazy as sometimes hard try dont anything
3,horrible eyelash thesis dummy proof though blind one eye
3,yup  online shopper stop buying one bad customer experience custserv
2,social medium wake gaza amp war balochistan pity humanity world
1,ugly per usual
1,ugly per usual
3,ppl post thing like heavily hurt
3,confused confused confused like never c ripmichaelseyebrowpiercing
1,said log bank fckn dead man dkl
1,care sad person
1,care sad person
1,care sad person
2,always virtuepsychopaths crave pity use steal kill amp destroy
0,last first day damn cute share
0,last first day damn cute share
0,last first day damn cute share
3,hiv effort let test shortage say
3,mistake made justify foolish belief bad decisio
1,britney spear part help impacted devastating louisiana flood
3,holy sh ugly black life matter leader blast crap old white
3,brother finally chopped mop go check need line disappointed
3,fraud girl revealed  rape law misuse frame asaram bapu ji misuseofrapelaws
3,remember jungkook tried kill suga fake digital shooting gun suga killed childhood dream
3,remember jungkook tried kill suga fake digital shooting gun suga killed childhood dream
3,remember jungkook tried kill suga fake digital shooting gun suga killed childhood dream
2,look like literal ogar child
1,sad news former law amp order star steven hill passed away 
3,reason go rally feel guilty
3,sad see shit like  tip someone ungrateful called beautiful disrespected
2,worst fucking twitter point
3,nigga stupid
3,nigga stupid
3,get tired liberal left acting black people sort mental misfit
3,rose tralee organiser say contestant judged abortion view
3, year old charged rape get  year probation go jail
3, officethe workday typical office worker consisting ego clash inappropriate behavior tedium
3, officethe workday typical office worker consisting ego clash inappropriate behavior tedium
3,people talking crap behind
3,say hurting patient service clearly wrong onpoli carenotcuts
1,wonho embarrassing pinch wall need compliment get pouty guy look
1,wonho embarrassing pinch wall need compliment get pouty guy look
1,wonho embarrassing pinch wall need compliment get pouty guy look
3,curve game stupid
1,sad sushi kitten
3,dirty old police problem say hillary clinton
3,auspolevery disadvantaged electorate labor seat labor ever done stop poverty nothing
3,people getting nerve today sorry
1,medical news today strep throat picture symptom
1,turn jumping bathtub full hot sauce bad idea
3,teenager get trouble due late curfew bad grade get trouble
1, star show  pre recbh said pre rec last week looked sick sleep well
3,always tentacle monstergoddamn itfucking japan mangood bad fucking christ
3,raining pouring old noob dying
3,tired weak rage could scream star right skyy
2,indian terrorist army kashmir intentionally fire pellet killing effect
